Training Logs

Epoch [1/3000], Discriminator Loss: 1.5899, Generator Loss: 0.5077
Epoch [2/3000], Discriminator Loss: 1.7245, Generator Loss: 0.4591
Epoch [3/3000], Discriminator Loss: 1.8165, Generator Loss: 0.4623
Epoch [4/3000], Discriminator Loss: 1.9208, Generator Loss: 0.4389
Epoch [5/3000], Discriminator Loss: 1.9936, Generator Loss: 0.4321
Epoch [6/3000], Discriminator Loss: 2.0308, Generator Loss: 0.4431
Epoch [7/3000], Discriminator Loss: 2.0544, Generator Loss: 0.4510
Epoch [8/3000], Discriminator Loss: 1.9628, Generator Loss: 0.5311
Epoch [9/3000], Discriminator Loss: 1.9784, Generator Loss: 0.5085
Epoch [10/3000], Discriminator Loss: 1.8773, Generator Loss: 0.5541
Epoch [11/3000], Discriminator Loss: 1.8019, Generator Loss: 0.5939
Epoch [12/3000], Discriminator Loss: 1.8670, Generator Loss: 0.5823
Epoch [13/3000], Discriminator Loss: 1.7758, Generator Loss: 0.6606
Epoch [14/3000], Discriminator Loss: 1.6855, Generator Loss: 0.7222
Epoch [15/3000], Discriminator Loss: 1.5861, Generator Loss: 0.7302
Epoch [16/3000], Discriminator Loss: 1.5864, Generator Loss: 0.6678
Epoch [17/3000], Discriminator Loss: 1.5238, Generator Loss: 0.7310
Epoch [18/3000], Discriminator Loss: 1.3321, Generator Loss: 0.9204
Epoch [19/3000], Discriminator Loss: 1.3975, Generator Loss: 0.7553
Epoch [20/3000], Discriminator Loss: 1.4357, Generator Loss: 0.7774
Epoch [21/3000], Discriminator Loss: 1.3661, Generator Loss: 0.8775
Epoch [22/3000], Discriminator Loss: 1.2437, Generator Loss: 0.9734
Epoch [23/3000], Discriminator Loss: 1.2034, Generator Loss: 0.9300
Epoch [24/3000], Discriminator Loss: 1.4083, Generator Loss: 0.8219
Epoch [25/3000], Discriminator Loss: 1.3903, Generator Loss: 0.8891
Epoch [26/3000], Discriminator Loss: 1.4732, Generator Loss: 0.7720
Epoch [27/3000], Discriminator Loss: 1.7834, Generator Loss: 0.5660
Epoch [28/3000], Discriminator Loss: 1.5505, Generator Loss: 0.7661
Epoch [29/3000], Discriminator Loss: 1.1956, Generator Loss: 0.9858
