Resumed Training Logs

Epoch [501/2000], Discriminator Loss: 1.2812, Generator Loss: 0.8938
Epoch [502/2000], Discriminator Loss: 1.3020, Generator Loss: 0.9076
Epoch [503/2000], Discriminator Loss: 1.2079, Generator Loss: 1.0046
Epoch [504/2000], Discriminator Loss: 1.3393, Generator Loss: 0.9319
Epoch [505/2000], Discriminator Loss: 1.1635, Generator Loss: 1.2369
Epoch [506/2000], Discriminator Loss: 1.1841, Generator Loss: 1.0494
Epoch [507/2000], Discriminator Loss: 1.0134, Generator Loss: 1.1760
Epoch [508/2000], Discriminator Loss: 1.0457, Generator Loss: 1.2056
Epoch [509/2000], Discriminator Loss: 1.1817, Generator Loss: 0.9906
Epoch [510/2000], Discriminator Loss: 1.2156, Generator Loss: 0.9511
Epoch [511/2000], Discriminator Loss: 1.2905, Generator Loss: 0.9379
Epoch [512/2000], Discriminator Loss: 1.1256, Generator Loss: 1.0355
Epoch [513/2000], Discriminator Loss: 1.1584, Generator Loss: 1.0134
Epoch [514/2000], Discriminator Loss: 1.2435, Generator Loss: 0.9028
Epoch [515/2000], Discriminator Loss: 1.2031, Generator Loss: 0.9655
Epoch [516/2000], Discriminator Loss: 1.2640, Generator Loss: 0.9575
Epoch [517/2000], Discriminator Loss: 1.2689, Generator Loss: 0.8626
Epoch [518/2000], Discriminator Loss: 1.2087, Generator Loss: 0.8976
Epoch [519/2000], Discriminator Loss: 1.2606, Generator Loss: 0.9220
Epoch [520/2000], Discriminator Loss: 1.2333, Generator Loss: 0.9165
Epoch [521/2000], Discriminator Loss: 1.2832, Generator Loss: 0.8673
Epoch [522/2000], Discriminator Loss: 1.2207, Generator Loss: 0.8629
Epoch [523/2000], Discriminator Loss: 1.2998, Generator Loss: 0.8998
Epoch [524/2000], Discriminator Loss: 1.1953, Generator Loss: 0.8954
Epoch [525/2000], Discriminator Loss: 1.2774, Generator Loss: 0.9303
Epoch [526/2000], Discriminator Loss: 1.2469, Generator Loss: 0.8878
Epoch [527/2000], Discriminator Loss: 1.2494, Generator Loss: 0.9314
Epoch [528/2000], Discriminator Loss: 1.1945, Generator Loss: 0.9459
Epoch [529/2000], Discriminator Loss: 1.2306, Generator Loss: 0.8871
Epoch [530/2000], Discriminator Loss: 1.3362, Generator Loss: 0.8638
Epoch [531/2000], Discriminator Loss: 1.2151, Generator Loss: 0.8783
Epoch [532/2000], Discriminator Loss: 1.2173, Generator Loss: 0.9130
Epoch [533/2000], Discriminator Loss: 1.2461, Generator Loss: 0.9058
Epoch [534/2000], Discriminator Loss: 1.1709, Generator Loss: 0.9083
Epoch [535/2000], Discriminator Loss: 1.1979, Generator Loss: 0.9258
Epoch [536/2000], Discriminator Loss: 1.2969, Generator Loss: 0.8872
Epoch [537/2000], Discriminator Loss: 1.1135, Generator Loss: 0.9547
Epoch [538/2000], Discriminator Loss: 1.2408, Generator Loss: 0.9388
Epoch [539/2000], Discriminator Loss: 1.2915, Generator Loss: 0.9078
Epoch [540/2000], Discriminator Loss: 1.3546, Generator Loss: 0.8794
Epoch [541/2000], Discriminator Loss: 1.2365, Generator Loss: 0.8941
Epoch [542/2000], Discriminator Loss: 1.2142, Generator Loss: 0.9268
Epoch [543/2000], Discriminator Loss: 1.4073, Generator Loss: 0.8593
Epoch [544/2000], Discriminator Loss: 1.3356, Generator Loss: 0.8881
Epoch [545/2000], Discriminator Loss: 1.2430, Generator Loss: 0.8972
Epoch [546/2000], Discriminator Loss: 1.2781, Generator Loss: 0.9126
Epoch [547/2000], Discriminator Loss: 1.2285, Generator Loss: 0.9065
Epoch [548/2000], Discriminator Loss: 1.2898, Generator Loss: 0.9259
Epoch [549/2000], Discriminator Loss: 1.2308, Generator Loss: 0.8951
Epoch [550/2000], Discriminator Loss: 1.3437, Generator Loss: 0.9070
Epoch [551/2000], Discriminator Loss: 1.2661, Generator Loss: 0.8682
Epoch [552/2000], Discriminator Loss: 1.1862, Generator Loss: 0.9217
Epoch [553/2000], Discriminator Loss: 1.2004, Generator Loss: 0.9502
Epoch [554/2000], Discriminator Loss: 1.1643, Generator Loss: 0.9059
Epoch [555/2000], Discriminator Loss: 1.2125, Generator Loss: 0.8907
Epoch [556/2000], Discriminator Loss: 1.2905, Generator Loss: 0.8727
Epoch [557/2000], Discriminator Loss: 1.2297, Generator Loss: 0.9275
Epoch [558/2000], Discriminator Loss: 1.2411, Generator Loss: 0.9312
Epoch [559/2000], Discriminator Loss: 1.2852, Generator Loss: 0.8935
Epoch [560/2000], Discriminator Loss: 1.3222, Generator Loss: 0.8389
Epoch [561/2000], Discriminator Loss: 1.1913, Generator Loss: 0.9313
Epoch [562/2000], Discriminator Loss: 1.2836, Generator Loss: 0.8960
Epoch [563/2000], Discriminator Loss: 1.2229, Generator Loss: 0.9051
